OBJECTID,MUNICIPALITY
331,Agua Boa
332,General Carneiro
332, Novo Sao Joaquim
332, Poxor
333,Nobres
334,Nova Lacerda
335,Bonfim
336,Luciara
336, Santa Terezinha
337,Aruana
338,Aruana
339,Feijn
340,Tocantenia
341,Manicor
342,Lambrea
343,Tapaur
344,Manicor 
345,Boca do Acre
345, Pauini
346,Humait
347,Manacapuru
348,Autazes
349,Careiro
350,Alto Alegre
351,Tarauaca
352,Nova Mamoro
352, Porto Velho
353,Alenquer
353, Almeirim
353, Laranjal do Jari
353, Obidos
353, Oriximin
354,Alenquer
354, Almeirim
354, Monte Alegre
355,Rodrigues Alves
356,Feijn
357,Rondon do Par 
358,Feijn
359,Jordao
360,Tarauacn
361,Parecis
362,Aripuana
362, Ju na
363,Feijn
364,Cumaru do Norte
364, Sao F
365,Bannach
365, Cumaru do Norte
365, Ourilindia do Norte
365, Sao F4lix do Xingu
366,Laranjal do Jari
366, Pedra Branca do Amapari
367,Guajaro-Mirim
367, Nova Mamorr
368,Nova Mamorr
369,Barao de Melgaao
370,Altamira
370, Brasil Novo
370, Medicilndia
370, Uruarr
371,Amajari
372,Alto Alegre
373,Juara
374,Amajari
375,Aripuana
376,Amarante do Maranhao
376, Arame
376, Bom Jesus das Selvas
376, Buriticupu
376, Graja
377,Oiapoque
378,Oiapoque
379,Barra do Corda
379, Fernando Falcao
380,Santa Maria das Barreiras
381,Altamira
381, Senador Josg Porflrio
382,Itaipava do Graja 
382, Jenipapo dos Vieiras
383,Alto Alegre
384,Bonfim
385,Vituria do Xingu
386,Itupiranga
386, Novo Repartimento
387,Tangar
388,Guajaro-Mirim
389,Ju
390,Alto Alegre
391,Rondon
392,Nova Lacerda
393,Tomb-Atu
394,Alto Alegre
394, Boa Vista
395,Santa F
395, do Araguaia
396,Tomb-AUu
397,Feijn
398,Barra do Corda
398, Fernando Falcao
399,Feija
399, Jordao
400,Jordao
401,Marechal Thaumaturgo
402,MCncio Lima
403,Barra do Corda
403, Grajae
403, Jenipapo dos Vieiras
404,Canarana
404, Ribeirao Cascalheira
405,Feijk
406,Lambrea
407,Pauini
408,Santa Isabel do Rio Negro
408, Sao Gabriel da Cachoeira
409,Lambrea
409, Pauini
410,Pauini
411,Pauini
412,Eirunepi
412, Itamarati
412, Pauini
413,Maraa
413, Santa Isabel do Rio Negro
