OBJECTID,ORGANIZATION
1,Instituto Chico Mendes de Conservacao da Biodiversidade
2,Instituto Chico Mendes de Conservacao da Biodiversidade
3,Instituto Chico Mendes de Conservacao da Biodiversidade
4,Instituto Chico Mendes de Conservacao da Biodiversidade
5,Instituto Chico Mendes de Conservacao da Biodiversidade
6,Instituto Chico Mendes de Conservacao da Biodiversidade
7,Instituto Chico Mendes de Conservacao da Biodiversidade
8,Instituto Chico Mendes de Conservacao da Biodiversidade
9,Instituto Chico Mendes de Conservacao da Biodiversidade
10,Instituto Chico Mendes de Conservacao da Biodiversidade
11,Instituto Chico Mendes de Conservacao da Biodiversidade
12,Instituto Chico Mendes de Conservacao da Biodiversidade
13,Instituto Chico Mendes de Conservacao da Biodiversidade
14,Instituto Chico Mendes de Conservacao da Biodiversidade
15,Instituto Chico Mendes de Conservacao da Biodiversidade
16,Instituto Chico Mendes de Conservacao da Biodiversidade
17,Instituto Chico Mendes de Conservacao da Biodiversidade
18,Instituto Chico Mendes de Conservacao da Biodiversidade
19,Instituto Chico Mendes de Conservacao da Biodiversidade
20,Instituto Chico Mendes de Conservacao da Biodiversidade
21,Instituto Chico Mendes de Conservacao da Biodiversidade
22,Instituto Chico Mendes de Conservacao da Biodiversidade
23,Instituto Chico Mendes de Conservacao da Biodiversidade
24,Instituto Chico Mendes de Conservacao da Biodiversidade
25,Instituto Chico Mendes de Conservacao da Biodiversidade
26,Instituto Chico Mendes de Conservacao da Biodiversidade
27,Instituto Chico Mendes de Conservacao da Biodiversidade
28,Instituto Chico Mendes de Conservacao da Biodiversidade
29,Instituto Chico Mendes de Conservacao da Biodiversidade
30,Instituto Chico Mendes de Conservacao da Biodiversidade
31,Instituto Chico Mendes de Conservacao da Biodiversidade
32,Instituto Chico Mendes de Conservacao da Biodiversidade
33,Instituto Chico Mendes de Conservacao da Biodiversidade
34,Instituto Chico Mendes de Conservacao da Biodiversidade
35,Instituto Chico Mendes de Conservacao da Biodiversidade
36,Instituto Chico Mendes de Conservacao da Biodiversidade
37,Instituto Chico Mendes de Conservacao da Biodiversidade
38,Instituto Chico Mendes de Conservacao da Biodiversidade
39,Instituto Chico Mendes de Conservacao da Biodiversidade
40,Instituto Chico Mendes de Conservacao da Biodiversidade
41,Instituto Chico Mendes de Conservacao da Biodiversidade
42,Instituto Chico Mendes de Conservacao da Biodiversidade
43,Instituto Chico Mendes de Conservacao da Biodiversidade
44,Instituto Chico Mendes de Conservacao da Biodiversidade
45,Instituto Chico Mendes de Conservacao da Biodiversidade
46,Instituto Chico Mendes de Conservacao da Biodiversidade
47,Instituto Chico Mendes de Conservacao da Biodiversidade
48,Instituto Chico Mendes de Conservacao da Biodiversidade
49,Instituto Chico Mendes de Conservacao da Biodiversidade
50,Instituto Chico Mendes de Conservacao da Biodiversidade
51,Instituto Chico Mendes de Conservacao da Biodiversidade
52,Instituto Chico Mendes de Conservacao da Biodiversidade
53,Instituto Chico Mendes de Conservacao da Biodiversidade
54,Instituto Chico Mendes de Conservacao da Biodiversidade
55,Instituto Chico Mendes de Conservacao da Biodiversidade
56,Instituto Chico Mendes de Conservacao da Biodiversidade
57,Instituto Chico Mendes de Conservacao da Biodiversidade
58,Instituto Chico Mendes de Conservacao da Biodiversidade
59,Instituto Chico Mendes de Conservacao da Biodiversidade
60,Instituto Chico Mendes de Conservacao da Biodiversidade
61,Instituto Chico Mendes de Conservacao da Biodiversidade
62,Instituto Chico Mendes de Conservacao da Biodiversidade
63,Instituto Chico Mendes de Conservacao da Biodiversidade
64,Instituto Chico Mendes de Conservacao da Biodiversidade
65,Instituto Chico Mendes de Conservacao da Biodiversidade
66,Instituto Chico Mendes de Conservacao da Biodiversidade
67,Instituto Chico Mendes de Conservacao da Biodiversidade
68,Instituto Chico Mendes de Conservacao da Biodiversidade
69,Instituto Chico Mendes de Conservacao da Biodiversidade
70,Instituto Chico Mendes de Conservacao da Biodiversidade
71,Instituto Chico Mendes de Conservacao da Biodiversidade
72,Instituto Chico Mendes de Conservacao da Biodiversidade
73,Instituto Chico Mendes de Conservacao da Biodiversidade
74,Instituto Chico Mendes de Conservacao da Biodiversidade
75,Instituto Chico Mendes de Conservacao da Biodiversidade
76,Instituto Chico Mendes de Conservacao da Biodiversidade
77,Instituto Chico Mendes de Conservacao da Biodiversidade
78,Instituto Chico Mendes de Conservacao da Biodiversidade
79,Instituto Chico Mendes de Conservacao da Biodiversidade
80,Instituto Chico Mendes de Conservacao da Biodiversidade
81,Instituto Chico Mendes de Conservacao da Biodiversidade
82,Instituto Chico Mendes de Conservacao da Biodiversidade
83,Instituto Chico Mendes de Conservacao da Biodiversidade
84,Instituto Chico Mendes de Conservacao da Biodiversidade
85,Instituto Chico Mendes de Conservacao da Biodiversidade
86,Instituto Chico Mendes de Conservacao da Biodiversidade
87,Instituto Chico Mendes de Conservacao da Biodiversidade
88,Instituto Chico Mendes de Conservacao da Biodiversidade
89,Instituto Chico Mendes de Conservacao da Biodiversidade
90,Instituto Chico Mendes de Conservacao da Biodiversidade
91,Instituto Chico Mendes de Conservacao da Biodiversidade
92,Instituto Chico Mendes de Conservacao da Biodiversidade
93,Instituto Chico Mendes de Conservacao da Biodiversidade
94,Instituto Chico Mendes de Conservacao da Biodiversidade
95,Instituto Chico Mendes de Conservacao da Biodiversidade
96,Instituto Chico Mendes de Conservacao da Biodiversidade
97,Instituto Chico Mendes de Conservacao da Biodiversidade
98,Instituto Chico Mendes de Conservacao da Biodiversidade
99,Instituto Chico Mendes de Conservacao da Biodiversidade
100,Instituto Chico Mendes de Conservacao da Biodiversidade
101,Instituto Chico Mendes de Conservacao da Biodiversidade
102,Instituto Chico Mendes de Conservacao da Biodiversidade
103,Instituto Chico Mendes de Conservacao da Biodiversidade
104,Instituto Chico Mendes de Conservacao da Biodiversidade
105,Instituto Chico Mendes de Conservacao da Biodiversidade
106,Instituto Chico Mendes de Conservacao da Biodiversidade
107,Instituto Chico Mendes de Conservaeso da Biodiversidade
108,Instituto Chico Mendes de Conservacao da Biodiversidade
109,Instituto Chico Mendes de Conservacao da Biodiversidade
110,Instituto Chico Mendes de Conservacao da Biodiversidade
111,Instituto Chico Mendes de Conservacao da Biodiversidade
112,Instituto Chico Mendes de Conservacao da Biodiversidade
113,Instituto Chico Mendes de Conservacao da Biodiversidade
114,Instituto Chico Mendes de Conservacao da Biodiversidade
115,Instituto Chico Mendes de Conservacao da Biodiversidade
116,Instituto Chico Mendes de Conservacao da Biodiversidade
117,Instituto Chico Mendes de Conservacao da Biodiversidade
118,Instituto Chico Mendes de Conservacao da Biodiversidade
119,Instituto Chico Mendes de Conservacao da Biodiversidade
120,Instituto Chico Mendes de Conservacao da Biodiversidade
121,Instituto Chico Mendes de Conservaeso da Biodiversidade
122,Instituto Chico Mendes de Conservacao da Biodiversidade
123,Instituto Chico Mendes de Conservacao da Biodiversidade
124,Instituto Chico Mendes de Conservacao da Biodiversidade
125,Instituto Chico Mendes de Conservacao da Biodiversidade
126,Instituto Chico Mendes de Conservaeso da Biodiversidade
127,Instituto Chico Mendes de Conservacao da Biodiversidade
128,Instituto Chico Mendes de Conservacao da Biodiversidade
129,Instituto Chico Mendes de Conservacao da Biodiversidade
130,Instituto Chico Mendes de Conservacao da Biodiversidade
131,Instituto Chico Mendes de Conservacao da Biodiversidade
132,Instituto Chico Mendes de Conservacao da Biodiversidade
133,Instituto Chico Mendes de Conservacao da Biodiversidade
134,Instituto Chico Mendes de Conservacao da Biodiversidade
135,Instituto Chico Mendes de Conservacao da Biodiversidade
136,Instituto Chico Mendes de Conservacao da Biodiversidade
137,Instituto Chico Mendes de Conservacao da Biodiversidade
138,Instituto Chico Mendes de Conservacao da Biodiversidade
139,Instituto Chico Mendes de Conservacao da Biodiversidade
140,Instituto Chico Mendes de Conservacao da Biodiversidade
141,Instituto Chico Mendes de Conservacao da Biodiversidade
142,Instituto Chico Mendes de Conservacao da Biodiversidade
143,Instituto Chico Mendes de Conservacao da Biodiversidade
144,Instituto Chico Mendes de Conservacao da Biodiversidade
145,Instituto Chico Mendes de Conservacao da Biodiversidade
146,Instituto Chico Mendes de Conservacao da Biodiversidade
147,Instituto Chico Mendes de Conservacao da Biodiversidade
148,Instituto Chico Mendes de Conservacao da Biodiversidade
149,Instituto Chico Mendes de Conservacao da Biodiversidade
150,Instituto Chico Mendes de Conservacao da Biodiversidade
151,Instituto Chico Mendes de Conservacao da Biodiversidade
152,Instituto Chico Mendes de Conservacao da Biodiversidade
153,Instituto Chico Mendes de Conservacao da Biodiversidade
154,Instituto Chico Mendes de Conservacao da Biodiversidade
155,Secretaria Municipal de Meio Ambiente e Sustentabilidade de Manaus - AM
156,Secretaria Municipal de Meio Ambiente de Ananindeua - PA
157,Secretaria Municipal de Meio Ambiente de Ananindeua - PA
158,Secretaria Municipal de Meio Ambiente e Sustentabilidade de Manaus - AM
159,Prefeitura Municipal de Caracara - RR
160,Secretaria Municipal de Meio Ambiente e Assuntos Fundi rios - Cuiab /MT
161,Secretaria Municipal de Meio Ambiente e Sustentabilidade de Manaus - AM
162,Prefeitura Municipal de Serra do Navio - AP
163,Secretaria Municipal de Meio Ambiente de Canae dos Carajos - PA
164,Prefeitura de Sinop - MT
165,Prefeitura Municipal de Sao Felix do Tocantins - TO
166,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
167,Secretaria de Estado do Meio Ambiente de Mato Grosso
168,Secretaria de Estado do Meio Ambiente de Mato Grosso
169,Secretaria de Estado de Meio Ambiente e Recursos Naturais do Maranhao
170,Secretaria de Estado do Meio Ambiente de Mato Grosso
171,Secretaria de Estado de Meio Ambiente e Recursos Naturais do Maranhao
172,Secretaria de Estado do Meio Ambiente de Mato Grosso
173,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
174,Secretaria de Estado do Meio Ambiente de Mato Grosso
175,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
176,Secretaria de Estado do Meio Ambiente de Mato Grosso
177,Secretaria de Estado do Meio Ambiente de Mato Grosso
178,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
179,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
180,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
181,Secretaria de Estado do Meio Ambiente do Amazonas
182,Secretaria de Estado do Meio Ambiente de Mato Grosso
183,Secretaria de Estado do Meio Ambiente de Mato Grosso
184,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
185,Secretaria de Estado do Meio Ambiente do Amazonas
186,Secretaria de Estado do Meio Ambiente do Amazonas
187,Secretaria de Estado do Meio Ambiente do Amazonas
188,Secretaria de Estado do Meio Ambiente de Mato Grosso
189,Secretaria de Estado do Meio Ambiente do Amazonas
190,Secretaria de Estado do Meio Ambiente de Mato Grosso
191,Instituto de Meio Ambiente do Mato Grosso do Sul
192,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
193,Secretaria de Estado do Meio Ambiente de Mato Grosso
194,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
195,Secretaria de Estado do Meio Ambiente de Mato Grosso
196,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
197,Secretaria de Estado do Meio Ambiente de Mato Grosso
198,Secretaria Estadual do Meio Ambiente e dos Recursos Hidricos de Goias
199,Secretaria de Estado do Meio Ambiente do Amazonas
200,Secretaria de Estado de Meio Ambiente do Acre
201,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
202,Instituto Natureza do Tocantins
203,Instituto Natureza do Tocantins
204,Secretaria de Estado do Meio Ambiente de Mato Grosso
205,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
206,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
207,Secretaria de Estado do Meio Ambiente de Mato Grosso
208,Instituto Natureza do Tocantins
209,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
210,Secretaria de Estado do Meio Ambiente de Mato Grosso
211,Secretaria de Estado do Meio Ambiente de Mato Grosso
212,Secretaria de Estado do Meio Ambiente de Mato Grosso
213,Secretaria de Estado do Meio Ambiente do Amazonas
214,Secretaria de Estado do Meio Ambiente de Mato Grosso
215,Secretaria de Estado do Meio Ambiente de Mato Grosso
216,Secretaria de Estado do Meio Ambiente do Amazonas
217,Instituto Natureza do Tocantins
218,Secretaria de Estado do Meio Ambiente de Mato Grosso
219,Secretaria Estadual do Meio Ambiente e dos Recursos Hidricos de Goias
220,Secretaria de Estado do Meio Ambiente do Amazonas
221,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
222,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
223,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
224,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
225,Secretaria de Estado do Meio Ambiente do Amazonas
226,Secretaria de Estado do Meio Ambiente do Amazonas
227,Secretaria de Estado de Meio Ambiente e Recursos Naturais do Maranhao
228,Secretaria de Estado de Meio Ambiente do Acre
229,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
230,Instituto Natureza do Tocantins
231,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
232,Secretaria de Estado do Meio Ambiente do Amazonas
233,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
234,Instituto Natureza do Tocantins
235,Instituto Natureza do Tocantins
236,Secretaria de Estado do Meio Ambiente de Mato Grosso
237,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
238,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
239,Secretaria de Estado do Meio Ambiente do Amazonas
240,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
241,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
242,Secretaria de Estado do Meio Ambiente de Mato Grosso
243,Secretaria de Estado do Meio Ambiente de Mato Grosso
244,Secretaria de Estado do Meio Ambiente do Amazonas
245,Secretaria de Estado do Meio Ambiente do Amazonas
246,Secretaria de Estado do Meio Ambiente do Amazonas
247,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
248,Secretaria de Estado do Meio Ambiente do Amazonas
249,Instituto Natureza do Tocantins
250,Secretaria do Meio Ambiente da Bahia
251,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
252,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
253,Secretaria de Estado de Meio Ambiente do Acre
254,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
255,Instituto Natureza do Tocantins
256,Secretaria de Estado do Meio Ambiente do Amazonas
257,Secretaria de Estado do Meio Ambiente do Amazonas
258,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
259,Secretaria de Estado do Meio Ambiente do Amapi
260,Secretaria de Estado do Desenvolvimento Ambiental de Rondania
261,Secretaria de Estado do Meio Ambiente de Mato Grosso
262,Secretaria de Estado de Meio Ambiente e Recursos Naturais do Maranhao
263,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
264,Secretaria de Estado do Meio Ambiente do Amazonas
265,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
266,Secretaria de Estado do Meio Ambiente do Amazonas
267,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
268,Instituto Natureza do Tocantins
269,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
270,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
271,Secretaria de Estado do Meio Ambiente de Mato Grosso
272,Secretaria de Estado do Meio Ambiente do Amazonas
273,Secretaria de Estado do Meio Ambiente do Amazonas
274,Instituto Natureza do Tocantins
275,Secretaria de Estado do Meio Ambiente do Amazonas
276,Instituto de Desenvolvimento Florestal e da Biodiversidade do Para
277,Secretaria de Estado do Desenvolvimento Ambiental de Rondonia
