"","ID","Municipality"
"331",331,"Agua Boa"
"332",332,"General Carneiro"
"333",332," Novo Sao Joaquim"
"334",332," Poxor"
"335",333,"Nobres"
"336",334,"Nova Lacerda"
"337",335,"Bonfim"
"338",336,"Luciara"
"339",336," Santa Terezinha"
"340",337,"Aruana"
"341",338,"Aruana"
"342",339,"Feijn"
"343",340,"Tocantenia"
"344",341,"Manicor"
"345",342,"Lambrea"
"346",343,"Tapaur"
"347",344,"Manicor "
"348",345,"Boca do Acre"
"349",345," Pauini"
"350",346,"Humait"
"351",347,"Manacapuru"
"352",348,"Autazes"
"353",349,"Careiro"
"354",350,"Alto Alegre"
"355",351,"Tarauaca"
"356",352,"Nova Mamoro"
"357",352," Porto Velho"
"358",353,"Alenquer"
"359",353," Almeirim"
"360",353," Laranjal do Jari"
"361",353," Obidos"
"362",353," Oriximin"
"363",354,"Alenquer"
"364",354," Almeirim"
"365",354," Monte Alegre"
"366",355,"Rodrigues Alves"
"367",356,"Feijn"
"368",357,"Rondon do Par "
"369",358,"Feijn"
"370",359,"Jordao"
"371",360,"Tarauacn"
"372",361,"Parecis"
"373",362,"Aripuana"
"374",362," Ju na"
"375",363,"Feijn"
"376",364,"Cumaru do Norte"
"377",364," Sao F"
"378",365,"Bannach"
"379",365," Cumaru do Norte"
"380",365," Ourilindia do Norte"
"381",365," Sao F4lix do Xingu"
"382",366,"Laranjal do Jari"
"383",366," Pedra Branca do Amapari"
"384",367,"Guajaro-Mirim"
"385",367," Nova Mamorr"
"386",368,"Nova Mamorr"
"387",369,"Barao de Melgaao"
"388",370,"Altamira"
"389",370," Brasil Novo"
"390",370," Medicilndia"
"391",370," Uruarr"
"392",371,"Amajari"
"393",372,"Alto Alegre"
"394",373,"Juara"
"395",374,"Amajari"
"396",375,"Aripuana"
"397",376,"Amarante do Maranhao"
"398",376," Arame"
"399",376," Bom Jesus das Selvas"
"400",376," Buriticupu"
"401",376," Graja"
"402",377,"Oiapoque"
"403",378,"Oiapoque"
"404",379,"Barra do Corda"
"405",379," Fernando Falcao"
"406",380,"Santa Maria das Barreiras"
"407",381,"Altamira"
"408",381," Senador Josg Porflrio"
"409",382,"Itaipava do Graja "
"410",382," Jenipapo dos Vieiras"
"411",383,"Alto Alegre"
"412",384,"Bonfim"
"413",385,"Vituria do Xingu"
"414",386,"Itupiranga"
"415",386," Novo Repartimento"
"416",387,"Tangar"
"417",388,"Guajaro-Mirim"
"418",389,"Ju"
"419",390,"Alto Alegre"
"420",391,"Rondon"
"421",392,"Nova Lacerda"
"422",393,"Tomb-Atu"
"423",394,"Alto Alegre"
"424",394," Boa Vista"
"425",395,"Santa F"
"426",395," do Araguaia"
"427",396,"Tomb-AUu"
"428",397,"Feijn"
"429",398,"Barra do Corda"
"430",398," Fernando Falcao"
"431",399,"Feija"
"432",399," Jordao"
"433",400,"Jordao"
"434",401,"Marechal Thaumaturgo"
"435",402,"MCncio Lima"
"436",403,"Barra do Corda"
"437",403," Grajae"
"438",403," Jenipapo dos Vieiras"
"439",404,"Canarana"
"440",404," Ribeirao Cascalheira"
"441",405,"Feijk"
"442",406,"Lambrea"
"443",407,"Pauini"
"444",408,"Santa Isabel do Rio Negro"
"445",408," Sao Gabriel da Cachoeira"
"446",409,"Lambrea"
"447",409," Pauini"
"448",410,"Pauini"
"449",411,"Pauini"
"450",412,"Eirunepi"
"451",412," Itamarati"
"452",412," Pauini"
"453",413,"Maraa"
"454",413," Santa Isabel do Rio Negro"
"455",414,"Maraa"
"456",415,"Carauari"
"457",415," Jutac"
"458",416,"Lambrea"
"459",417,"Novo Aripuana"
"460",418,"Boca do Acre"
"461",418," Lambrea"
"462",419,"Maraa"
"463",420,"Lambrea"
"464",421,"Envira"
"465",422,"Jutan"
"466",423,"Sao Paulo de Olivenaa"
"467",424,"Anori"
"468",424," Beruri"
"469",425,"Faro"
"470",425," Nhamunda"
"471",425," Oriximino"
"472",425," Urucarb"
"473",426,"Alvaraes"
"474",427,"Alvaraes"
"475",428,"Tefb"
"476",429,"Autazes"
"477",430,"Autazes"
"478",431,"Autazes"
"479",432,"Autazes"
"480",433,"Alvaraes"
"481",434,"Uarini"
"482",435,"Alvaraes"
"483",435," Uarini"
"484",436,"Autazes"
"485",437,"Atalaia do Norte"
"486",437," Benjamin Constant"
"487",437," Juta "
"488",437," Sao Paulo de OlivenGa"
"489",438,"Benjamin Constant"
"490",439,"Eirunepi"
"491",439," Jutas"
"492",440,"Benjamin Constant"
"493",441,"Ipixuna do Par"
"494",442,"Amarante do Maranhao"
"495",442," Lajeado Novo"
"496",442," Montes Altos"
"497",442," Sltio Novo"
"498",443,"Manicor"
"499",444,"Amatur"
"500",445,"Itacoatiara"
"501",446,"Humaita"
"502",446," Manicoro"
"503",447,"Barra do Corda"
"504",448,"Santa Isabel do Rio Negro"
"505",448," Sao Gabriel da Cachoeira"
"506",449,"Comodoro"
"507",450,"Fonte Boa"
"508",451,"Tapauh"
"509",452,"Alto Boa Vista"
"510",452," Bom Jesus do Araguaia"
"511",452," Sao Felix do Araguaia"
"512",453,"Confresa"
"513",453," Luciara"
"514",453," Porto Alegre do Norte"
"515",453," Santa Terezinha"
"516",454,"Goiatins"
"517",454," Itacaja"
"518",455,"Comodoro"
"519",456,"Poxoroo"
"520",457,"Cocalinho"
"521",458,"Tapaur"
"522",459,"Manaquiri"
"523",460,"Tapaur"
"524",461,"Borba"
"525",462,"Tapaun"
"526",463,"Cruzeiro do Sul"
"527",463," Tarauacm"
"528",464,"Anama"
"529",465,"Beruri"
"530",466,"Ga"
"531",467,"Feijn"
"532",467," Tarauace"
"533",468,"Formoso do Araguaia"
"534",468," Lagoa da Confusao"
"535",468," Pium"
"536",469,"Paranatinga"
"537",470,"Alta Floresta d'Oeste"
"538",470," Sao Francisco do Guapora"
"539",471,"Altamira"
"540",472,"Jordao"
"541",472," Marechal Thaumaturgo"
"542",473,"Itaituba"
"543",474,"Alto Alegre"
"544",475,"Jordao"
"545",476,"Jordao"
"546",476," Marechal Thaumaturgo"
"547",477,"Tarauacn"
"548",478,"Arame"
"549",478," Itaipava do Grajaa"
"550",479,"Paranatinga"
"551",479," Planalto da Serra"
"552",480,"Moju"
"553",481,"Aripuana"
"554",481," Espigao d'Oeste"
"555",481," Pimenta Bueno"
"556",482,"Bonfim"
"557",483,"Bonfim"
"558",483," Cant"
"559",484,"Itaipava do Graja "
"560",485,"Barao de Melgaao"
"561",485," Pocont"
"562",486,"Tangar"
"563",487,"Barra do Bugres"
"564",487," Tangar  da Serra"
"565",488,"Grajaj"
"566",489,"Jacareacanga"
"567",490,"Amajari"
"568",491,"Altamira"
"569",491," Sao F"
"570",491,"lix do Xingu"
"571",491," Senador Josu Porf"
"572",492,"Amajari"
"573",493,"Bonfim"
"574",494,"Tarauacn"
"575",495,"Comodoro"
"576",496,"Bom Jesus do Tocantins"
"577",497,"Boa Vista"
"578",498,"Alto Alegre"
"579",499,"Boa Vista"
"580",500,"Alta Floresta d'Oeste"
"581",500," Sao Francisco do Guaporf"
"582",500," Sao Miguel do Guapor"
"583",501,"Guajar"
"584",501,"-Mirim"
"585",502,"Alto Alegre do Parecis"
"586",503,"Guajaro-Mirim"
"587",504,"Alto Alegre"
"588",504," Boa Vista"
"589",505,"Cacoal"
"590",505," Espigao d'Oeste"
"591",505," Rondolcndia"
"592",506,"Baiao"
"593",506," Tucurub"
"594",507,"Chupinguaia"
"595",508,"Barra do Bugres"
"596",509,"Tocantenia"
"597",510,"Agua Azul do Norte"
"598",510," MarabR"
"599",510," Parauapebas"
"600",511,"Aripuana"
"601",512,"Tomb-Adu"
"602",513,"Manoel Urbano"
"603",513," Santa Rosa do Purus"
"604",514,"Grajaj"
"605",515,"Juara"
"606",515," Nova Canaa do Norte"
"607",515," Tabapora"
"608",516,"Porto Velho"
"609",517,"Comodoro"
"610",517," Nova Lacerda"
"611",518,"Quer"
"612",519,"Lambrea"
"613",520,"Pauini"
"614",521,"Pauini"
"615",522,"Eirunepi"
"616",522," Envira"
"617",522," Ipixuna"
"618",522," Tarauaca"
"619",523,"Japurs"
"620",523," Sao Gabriel da Cachoeira"
"621",524,"Japura"
"622",525,"Canutama"
"623",526,"Lambrea"
"624",527,"Amatur"
"625",528,"Jutan"
"626",529,"Aveiro"
"627",529," Barreirinha"
"628",529," Itaituba"
"629",529," Mau s"
"630",529," Parintins"
