OBJECTID,ID_UC0,Name,ID_WCMC2,class,type,gov_level,year_created,GID7,QUALIDAD8,ATO_LEGA9,DT_ULTIM10,CODIGO_U11,NOME_ORG12,Type,GID0,SIGLA1,OBS_AREA2,REV3,EM_REVIS4,CODAREAR5,ADR6,AREAETNO7,POPULANO8,GRUPOS9,UF10,MUNICSPI11,ETAPA12,SITUACAO13,TITULO14,DOCUMENT15,DATADOC16,EXTENSO17,TIPO18,CDOC19,FLUXO20,CODTI21,NOME_ARE22,NOME_TI23,CODAREA24,Near_OpDam_ID,NEAR_DIST_OpDam_m,NEAR_FID,NEAR_DIST
570,,,,,,,,,,,,,,0,366,TI, ,0,0,0,Tabatinga,XIII,13023,Tikuna,AM,Santo Ant,ConcluAdo,Regularizada,Certidao nd 0007,Registro SPU,2/24/2010,Principal,1,Reg SPU,380,12100,1vare I,1vare I,12101,23,770460.3507,20,620660.6796
423,,,,,,,,,,,,,,0,143,TI, ,0,0,0,Tabatinga,XIII,2200,Tikuna,AM,Sao Paulo de Olivenaa,Concluudo,Regularizada,Certidao S/N,Registro SPU,3/18/1997,Principal,1,Reg SPU,380,12200,1vare II,1vare II,12201,23,760408.4927,20,615006.7651
450,,,,,,,,,,,,,,0,179,TI, ,0,0,0,Manaus,XIII,101,Kokama,AM,Fonte Boa,Processo de homologaNao,Declarada,Memorando n  137/CGD/2004,Memo/CGD - Libera pe/as t,8/30/2004,Principal,1,Memora Dem,305,100,Acapuri de Cima,Acapuri de Cima,101,45,747542.8923,19,669075.9888
406,,,,,,,,,,,,,,0,126,TI, ,0,0,0,Rio Branco,XIV,40,Apurina,AM,LMbrea,Conclu,Regularizada,Certidao 008,Registro SPU,4/19/1999,Principal,1,Reg SPU,380,200,Acima,Acima,201,23,218764.9574,20,94809.71838
407,,,,,,,,,,,,,,0,127,TI, ,0,0,0,Rio Branco,XIV,165,Apurina,AM,Pauini,Conclu,Regularizada,Certidao 011,Registro SPU,7/17/2000,Principal,1,Reg SPU,380,400,Agua Preta/Inari,Agua Preta/Inari,401,23,294682.127,20,145058.0318
594,,,,,,,,,,,,,,0,402,TI, ,0,0,0, ,VII,922,"Temb1, Timbira, Urubu Kaapor",PA,"Garrafao do Norte, Nova Esperan a do Piri , Paragominas, Santa Luzia do Parn",Concluado,Regularizada,Certidao 007,Registro SPU,7/29/1994,Principal,1,Reg SPU,380,1000,Alto Rio Guamo,Alto Rio Guamo,1001,51,346172.4588,73,319316.9282
523,,,,,,,,,,,,,,0,300,TI, ,0,0,0,Sao Gabriel da Cachoeira,XII,13600,"Arap0so, Baras na, Barr, Karapana, Suri7na, Wanana",AM,"Japurs, Sao Gabriel da Cachoeira","Conclu,do",Regularizada,Certidao 010,Registro SPU,7/13/2000,Principal,1,Reg SPU,380,1100,Alto Rio Negro,Alto Rio Negro,1101,0,893584.6605,59,853596.729
513,,,,,,,,,,,,,,0,283,TI, ,0,0,0,Rio Branco,XV,1508,"Kaxinawn, Kulina",AC,"Manoel Urbano, Santa Rosa do Purus",Conclu do,Regularizada,Certidao nd 10,Registro SPU,8/30/2002,Principal,1,Reg SPU,380,1200,Alto Rio Purus,Alto Rio Purus,1201,23,545301.5849,20,386453.819
342,,,,,,,,,,,,,,0,16,TI, ,0,0,0,Rio Branco,XIV,93,Miranha,AM,LMbrea,Conclu,Regularizada,Certidao 002,Registro SPU,3/31/1999,Principal,1,Reg SPU,380,1300,Alto Sepatini,Alto Sepatini,1301,23,213717.7754,20,81152.91415
549,,,,,,,,,,,,,,0,330,TI, ,0,0,0,Rio Branco,XV,600,Isolados,AC,"Feija, Jordao",Conclu do,Regularizada,Certidao nd 11,Registro SPU,9/29/2009,Principal,1,Reg SPU,380,1400,Alto Tarauac,Alto Tarauac,1401,23,760495.7114,20,603416.6223
