OBJECTID,ID_UC,Name,Reserve Type,Class,gov_level,year_created,Polygon_quality,Organization_group_name,ID_TI,ADR6,Population,State,Municipality,OpDam_ID,NEAR_DIST_OpDam_m,Dam_ID,NEAR_DIST_alldams
570,,1vare I,Indigenous Reserve,Indigenous Reserve,Tribal,2010,,Tikuna,366,Tabatinga,13023,AM,Santo Ant,23,770460.3507,20,620660.6796
423,,1vare II,Indigenous Reserve,Indigenous Reserve,Tribal,1997,,Tikuna,143,Tabatinga,2200,AM,Sao Paulo de Olivenaa,23,760408.4927,20,615006.7651
450,,Acapuri de Cima,Indigenous Reserve,Indigenous Reserve,Tribal,2004,,Kokama,179,Manaus,101,AM,Fonte Boa,45,747542.8923,19,669075.9888
406,,Acima,Indigenous Reserve,Indigenous Reserve,Tribal,1999,,Apurina,126,Rio Branco,40,AM,LMbrea,23,218764.9574,20,94809.71838
407,,Agua Preta/Inari,Indigenous Reserve,Indigenous Reserve,Tribal,2000,,Apurina,127,Rio Branco,165,AM,Pauini,23,294682.127,20,145058.0318
594,,Alto Rio Guamo,Indigenous Reserve,Indigenous Reserve,Tribal,1994,,"Temb1, Timbira, Urubu Kaapor",402, ,922,PA,"Garrafao do Norte, Nova Esperan a do Piri , Paragominas, Santa Luzia do Parn",51,346172.4588,73,319316.9282
523,,Alto Rio Negro,Indigenous Reserve,Indigenous Reserve,Tribal,2000,,"Arap0so, Baras na, Barr, Karapana, Suri7na, Wanana",300,Sao Gabriel da Cachoeira,13600,AM,"Japurs, Sao Gabriel da Cachoeira",0,893584.6605,59,853596.729
513,,Alto Rio Purus,Indigenous Reserve,Indigenous Reserve,Tribal,2002,,"Kaxinawn, Kulina",283,Rio Branco,1508,AC,"Manoel Urbano, Santa Rosa do Purus",23,545301.5849,20,386453.819
342,,Alto Sepatini,Indigenous Reserve,Indigenous Reserve,Tribal,1999,,Miranha,16,Rio Branco,93,AM,LMbrea,23,213717.7754,20,81152.91415
549,,Alto Tarauac,Indigenous Reserve,Indigenous Reserve,Tribal,2009,,Isolados,330,Rio Branco,600,AC,"Feija, Jordao",23,760495.7114,20,603416.6223
595,,Alto Turia,Indigenous Reserve,Indigenous Reserve,Tribal,1983,,Urubu Kaapor,403,Sao Luis,534,MA,"Araguana, Centro do Guilherme, Centro Novo do Maranhao, Maranhaozinho, Santa Luzia do Parux, Za Doca",51,343535.0446,73,303387.778
644,,Amanayp,Indigenous Reserve,Indigenous Reserve,Tribal,1989,,Amanay,512,Marab,66,PA,Goianysia do Par(,51,100141.4305,80,100128.7441
650,,Amina,Indigenous Reserve,Indigenous Reserve,Tribal,2003,,Tupaiu,518, ,0,PA,Itamarati,3,100159.889,28,100171.4468
480,,AnambP,Indigenous Reserve,Indigenous Reserve,Tribal,1994,,Anambr,220,Marabr,120,PA,Moju,51,109285.4066,80,109285.8436
490,,Anan,Indigenous Reserve,Indigenous Reserve,Tribal,1995,,Makuxi,241,Boa Vista,54,RR,Amajari,0,673470.3034,59,559378.2826
620,,Anaro,Indigenous Reserve,Indigenous Reserve,Tribal,2009,,Wapixana,435,Boa Vista,52,RR,Amajari,0,650987.3158,59,535267.4211
529,,AndirP-Marau,Indigenous Reserve,Indigenous Reserve,Tribal,1987,,Satere-Mawe,306,Parintins,5825,"AM, PA","Aveiro, Barreirinha, Itaituba, Mau s, Parintins",3,261047.6025,70,26107.39102
371,,Aningal,Indigenous Reserve,Indigenous Reserve,Tribal,1995,,Makuxi,65,Boa Vista,153,RR,Amajari,0,627125.68,59,513415.1473
651,,Aningalzinho,Indigenous Reserve,Indigenous Reserve,Tribal,2008,,Tupaiu,519,Manaus,0,PA,Santar,3,105158.9593,28,105169.5456
372,,Anta,Indigenous Reserve,Indigenous Reserve,Tribal,1995,,"Makuxi, Wapixana",66,Boa Vista,114,RR,Alto Alegre,0,608216.499,59,493888.3964
