Name,UC_never_for_km
1REA DE PROTE CO AMBIENTAL TRIUNFO DO XINGU,444.8229115
1REA DE PROTE EO AMBIENTAL - BAIXO RIO BRANCO,5202.056852
1REA DE PROTE EO AMBIENTAL DA BAIXADA MARANHENSE,5659.212118
1REA DE PROTE EO AMBIENTAL DAS NASCENTES DE ARAGUAINA,152.4153657
1REA DE PROTE EO AMBIENTAL DAS REENTR NCIAS MARANHENSES,583.559765
1REA DE PROTE EO AMBIENTAL DE SbO GERALDO DO ARAGUAIA,80.07559891
1REA DE PROTE EO AMBIENTAL DE UPAON-AtU / MIRITIBA / ALTO PREGUIuAS,125.2985498
1REA DE PROTE EO AMBIENTAL DO ARQUIPeLAGO DO MARAJo,16225.68504
1REA DE PROTE EO AMBIENTAL DO LAGO DE TUCURUI,1.069783953
1REA DE PROTE EO AMBIENTAL DO RIO PRETO,3.823447504
1REA DE PROTE EO AMBIENTAL FOZ DO RIO SANTA TEREZA,471.0489076
1REA DE PROTE EO AMBIENTAL LAGO DE PEIXE/ANGICAL,705.8626994
"1REA DE PROTE EO AMBIENTAL LAGO DE SeO SALVADOR DO TOCANTINS, PARAN  E PALMEIR)POLIS",78.83334959
1REA DE PROTE EO AMBIENTAL PAYTUNA,202.5041871
1REA DE PROTE EO AMBIENTAL SERRA DO LAJEADO,1065.732526
1REA DE PROTEcoO AMBIENTAL SERRA DA TABATINGA,378.8707607
1REA DE PROTEDeO AMBIENTAL ILHA DO BANANAL/CANTdO,13174.5315
1REA DE PROTEDeO AMBIENTAL LAGO DE PALMAS,596.4858689
1rea de Proteuro Ambiental Jalap1o,1281.17445
1REA DE PROTEurO AMBIENTAL NASCENTES DO RIO PARAGUAI,636.9738377
2REA DE PROTE EO AMBIENTAL DO RIO CURIA,179.0304926
2REA DE PROTE EO AMBIENTAL DO RIO MADEIRA,1.182644547
2REA DE PROTEcoO AMBIENTAL DO IGARAPo GELADO,0.025001142
2REA DE PROTEcoO AMBIENTAL DO TAPAJmS,26.88996635
2REA DE PROTEcoO AMBIENTAL MEANDROS DO ARAGUAIA,2002.506283
2REA DE PROTEniO AMBIENTAL MUNICIPAL DO ARICe-AuU,614.1624951
3REA DE PROTEcoO AMBIENTAL DOS CAMPOS DE MANICORr,91.01002919
3REA DE PROTEurO AMBIENTAL BACIA DO RIO DE JANEIRO,0.03046921
4REA DE PROTE EO AMBIENTAL DAS CABECEIRAS DO RIO CUIAB,4138.415695
4REA DE PROTE EO AMBIENTAL DO SALTO MAGESSI,56.88168467
4REA DE PROTEDeO AMBIENTAL DA CHAPADA DOS GUIMARiES,1823.614252
8REA DE PROTE EO AMBIENTAL DA FAZENDINHA,0.267341096
9REA DE PROTE EO AMBIENTAL MARGEM DIREITA DO RIO NEGRO- SETOR PADUARI-SOLIMaES,83.10572541
9REA DE PROTE EO AMBIENTAL NHAMUNDn,719.0618919
AREA DE PROTECAO AMBIENTAL XERIUINI,5914.673503
ESTA,1213.765392
ESTACAO ECOLOGICA SERRA GERAL DO TOCANTINS,5955.216489
ESTAetO ECOLeGICA SERRA DOS TRoS IRMnOS,6.158666879
ESTAitO ECOLiGICA DA SERRA DAS ARARAS,197.6517632
ESTAitO ECOLiGICA DA TERRA DO MEIO,210.5030619
ESTAitO ECOLiGICA DE CARACARAs,112.8910699
ESTAitO ECOLiGICA DE CUNI,187.455852
ESTAitO ECOLiGICA DE IQUe,648.3283527
ESTAitO ECOLiGICA DE MARACC,4.520462725
ESTAitO ECOLiGICA DE MARACC JIPIOCA,431.9078536
ESTAitO ECOLiGICA DE NIQUIC,2153.133499
ESTAitO ECOLiGICA DE TAIAMC,95.52476511
FLORESTA ESTADUAL APU,67.86817025
FLORESTA ESTADUAL ARIPUANn,4.062544977
FLORESTA ESTADUAL CANUTAMA,59.96506828
FLORESTA ESTADUAL DE FARO,53.25505878
FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO DO RIO MACHADO,19.62543829
"FLORESTA ESTADUAL DE RENDIMENTO SUSTENTADO DO RIO MADEIRA """"B""""",0.414640231
FLORESTA ESTADUAL DE TAPAUs,146.5352599
FLORESTA ESTADUAL DO AMAPr,175.488989
FLORESTA ESTADUAL DO PARU,1182.764103
FLORESTA ESTADUAL DO TROMBETAS,134.9149792
FLORESTA ESTADUAL MANICORe,9.208848346
FLORESTA ESTADUAL MAoES,35.95865908
FLORESTA ESTADUAL SUCUNDURI,30.96105811
FLORESTA NACIONAL ALTAMIRA,0.084301257
FLORESTA NACIONAL DE ANAU,886.6460176
FLORESTA NACIONAL DE BALATA-TUFARI,44.1620565
FLORESTA NACIONAL DE BOM FUTURO,0.170345259
FLORESTA NACIONAL DE CARAJCS,155.416697
FLORESTA NACIONAL DE CAXIUANn,2.578236311
FLORESTA NACIONAL DE HUMAITo,139.0691763
FLORESTA NACIONAL DE JACUNDo,8.260704814
FLORESTA NACIONAL DE MULATA,445.6877169
FLORESTA NACIONAL DE PAU-ROSA,20.0921433
FLORESTA NACIONAL DE SARACC-TAQUERA,1.56388686
FLORESTA NACIONAL DE TAPIRAPn-AQUIRI,0.341155006
FLORESTA NACIONAL DE TEFe,110.3739744
FLORESTA NACIONAL DE URUPADI,17.75636613
FLORESTA NACIONAL DO AMAZONAS,9.895189063
FLORESTA NACIONAL DO ARIPUANn,136.6517443
FLORESTA NACIONAL DO IQUIRI,44.53639614
FLORESTA NACIONAL DO JAMANXIM,40.87664471
MONUMENTO NATURAL CANYONS E CORREDEIRAS DO RIO SONO,13.8708075
MONUMENTO NATURAL DAS oRVORES FOSSILIZADAS,285.0237171
MONUMENTO NATURAL MORRO DE SANTO ANTeNIO,2.370033203
PARQUE ESTADUAL CRISTALINO,13.95549106
PARQUE ESTADUAL DA SERRA DOS MARTeRIOS/ANDORINHAS,226.0209526
PARQUE ESTADUAL DAS NASCENTES DO RIO TAQUARI,0.873642174
PARQUE ESTADUAL DE CORUMBIARA,2557.169826
PARQUE ESTADUAL DE GUAJARe-MIRIM,959.2260645
PARQUE ESTADUAL DE MONTE ALEGRE,22.65965667
PARQUE ESTADUAL DO ARAGUAIAA,1876.77468
PARQUE ESTADUAL DO CANToO,75.29741071
PARQUE ESTADUAL DO GUIRm,750.0207172
PARQUE ESTADUAL DO JALAPeO,1510.292519
PARQUE ESTADUAL DO LAJEADO,102.3537974
PARQUE ESTADUAL DO MATUPIRI,246.8400607
PARQUE ESTADUAL DO UTINGA,0.044637891
PARQUE ESTADUAL DO XINGU,631.7673702
PARQUE ESTADUAL DOM OSiRIO STOFFEL,3.964692446
PARQUE ESTADUAL ENCONTRO DAS AGUAS,930.4028252
PARQUE ESTADUAL GUARIBA,240.9579096
PARQUE ESTADUAL IGARAPeS DO JURUENA,13.61550225
PARQUE ESTADUAL MnE BONIFnCIA,0.709283459
PARQUE ESTADUAL SERRA AZUL,100.9909846
PARQUE ESTADUAL SERRA DO ARACA,327.4537858
