FID,Name,Cnt_NOME_TI23,Ave_OBJECTID,Sum_Area_km
-1,1vare I,1,570,5565.55258
-1,1vare II,1,423,1751.015278
-1,Acapuri de Cima,1,450,204.428684
-1,Acima,1,406,394.5374495
-1,Agua Preta/Inari,1,407,1361.95363
-1,Alto Rio Guamo,1,594,2914.03771
-1,Alto Rio Negro,1,523,85601.90536
-1,Alto Rio Purus,1,513,2513.019921
-1,Alto Sepatini,1,342,252.6821683
-1,Alto Tarauac,1,549,1361.207066
-1,Alto Turia,1,595,5428.104445
-1,Amanayp,1,644,105.1846154
-1,Amina,1,650,107.0911847
-1,AnambP,1,480,88.13891305
-1,Anan,1,490,29.52975323
-1,Anaro,1,620,344.3374466
-1,AndirP-Marau,1,529,8021.116909
-1,Aningal,1,371,86.03517382
-1,Aningalzinho,1,651,106.9590638
-1,Anta,1,372,36.56616006
-1,Apiaka/Kayabi,1,373,1036.89153
-1,Apinayp II,1,738,102.0395931
-1,ApinayU,1,586,1400.614941
-1,Apipica,1,733,6.646196899
-1,Apurina do Igarap  Mucuim,1,768,712.9618464
-1,Apurina do Igarapg Sao Joao,1,607,181.3393946
-1,Apurina Igarap,1,462,997.175317
-1,Apurina Igarap  Tauamirim,1,675,103.1821479
-1,Apurina Km 124 BR-317,1,530,405.342211
-1,Apyterewa,1,580,7684.596118
-1,Ara0,1,374,573.1762224
-1,Arara,1,370,2788.434068
-1,Arara da Volta Grande do Xingu,1,734,259.2800555
-1,Arara do Igarap,1,568,844.8416178
-1,Arara do Rio Amonia,1,760,199.1050254
-1,Arara do Rio Branco,1,375,1094.684952
-1,Arariboia,1,376,4134.945
-1,Arary,1,631,408.3987854
-1,ArawetU IgarapF Ipixuna,1,491,9414.082872
-1,Areoes,2,510.5,1759.921532
-1,Aripuana,1,362,7103.587897
-1,Ariramba,1,635,102.3993339
-1,Awa,1,572,1192.631559
-1,Ba0,1,599,15012.64508
-1,Bacurizinho,2,570,2146.747733
-1,Badjonkore,1,364,2137.116221
-1,Baia do Guatl,1,485,175.0780839
-1,Baixo Grande,1,674,102.2369154
-1,Baixo Rio Negro,1,697,109.9705658
-1,Baixo Rio Negro II,1,745,109.6541787
-1,Baixo TapajAs,1,655,106.5859363
-1,Baixo TapajAs II,1,656,106.0071687
-1,Baixo TapajAs/Arapiuns,1,744,106.315859
-1,Bakairi,1,479,579.5584864
-1,Balaio,1,772,2753.91776
-1,Banaw,1,765,1890.383732
-1,Barata Livramento,1,474,144.1675146
-1,Barreira da Missao,1,428,19.35271903
-1,Barreirinha,1,735,24.16494263
-1,Barro Alto,1,795,19.89396603
-1,Batelao,1,515,1106.27996
-1,Batovi,1,466,47.01811624
