Name,Sum_Area_km
1vare I,5565.55258
1vare II,1751.015278
Acapuri de Cima,204.428684
Acima,394.5374495
Agua Preta/Inari,1361.95363
Alto Rio Guamo,2914.03771
Alto Rio Negro,85601.90536
Alto Rio Purus,2513.019921
Alto Sepatini,252.6821683
Alto Tarauac,1361.207066
Alto Turia,5428.104445
Amanayp,105.1846154
Amina,107.0911847
AnambP,88.13891305
Anan,29.52975323
Anaro,344.3374466
AndirP-Marau,8021.116909
Aningal,86.03517382
Aningalzinho,106.9590638
Anta,36.56616006
Apiaka/Kayabi,1036.89153
Apinayp II,102.0395931
ApinayU,1400.614941
Apipica,6.646196899
Apurina do Igarap  Mucuim,712.9618464
Apurina do Igarapg Sao Joao,181.3393946
Apurina Igarap,997.175317
Apurina Igarap  Tauamirim,103.1821479
Apurina Km 124 BR-317,405.342211
Apyterewa,7684.596118
Ara0,573.1762224
Arara,2788.434068
Arara da Volta Grande do Xingu,259.2800555
Arara do Igarap,844.8416178
Arara do Rio Amonia,199.1050254
Arara do Rio Branco,1094.684952
Arariboia,4134.945
Arary,408.3987854
ArawetU IgarapF Ipixuna,9414.082872
Areoes,1759.921532
Aripuana,7103.587897
Ariramba,102.3993339
Awa,1192.631559
Ba0,15012.64508
Bacurizinho,2146.747733
Badjonkore,2137.116221
Baia do Guatl,175.0780839
Baixo Grande,102.2369154
Baixo Rio Negro,109.9705658
Baixo Rio Negro II,109.6541787
Baixo TapajAs,106.5859363
Baixo TapajAs II,106.0071687
Baixo TapajAs/Arapiuns,106.315859
Bakairi,579.5584864
Balaio,2753.91776
Banaw,1890.383732
Barata Livramento,144.1675146
Barreira da Missao,19.35271903
Barreirinha,24.16494263
Barro Alto,19.89396603
Batelao,1106.27996
Batovi,47.01811624
Betania,1254.200482
Boa Vista - AM,3.441401943
Boca do Acre,255.3562906
Bom Intento,14.35261322
Bom Jesus,9.825743447
Boqueirao,183.780101
Borari de Alter do Chao,107.1257327
Braganea-Marituba,138.2031428
Brinco das Mo as,106.8896846
Cabeceira do Rio Acre,747.0417317
Cacau do Tarauaca,279.362295
Cachoeira Seca,7395.196651
Cacique Fontoura,304.8424566
Caiapuca,98.85535692
Caititu,3007.21936
Cajueiro,50.38587543
Cajuhiri Atravessado,126.7435972
Camadeni,1474.134955
Camicua,563.0462871
Campinas/Katukina,326.2096555
Cana Brava/Guajajara,1346.576291
Canauanim,127.1209488
Canoana,95.52070896
Capivara,105.593797
Capoto/Jarina,6036.257558
Caru,1734.210942
Catipari/Mamoria,1120.165798
Cayabi,11223.05674
Chao Preto,117.067932
Chiquitano de Baia Grande,92.26270581
Coata-Laranjal,11571.84589
Cobra Grande,107.4192552
Cu6 CuT/ Marabitanas,111.8878697
Cuia,13.66162925
Cuiu-Cuiu,375.9148782
Cunha-Sapucaia,4735.565024
Deni,14996.63952
Diahui,459.7334933
Enawen,95.76128076
EnawenU-NawU,6989.570999
Erikpatsl,765.2183522
Escondido,1615.512536
Escrivao,105.734165
Esp0rito Santo,347.4283985
Esta0ao Parecis,93.56878844
Estivadinho,18.78511406
Estrela da Paz,129.0079578
Eterairebere,93.08360886
Figueiras,90.90657484
Fortaleza do Castanho,27.92926332
Fortaleza do Pataun,7.780744272
Funil,151.3771623
Galibi,71.16976849
Garaperi/Lago da Vitoria,99.73985501
Gaviao,85.48357414
Geralda Toco Preto,185.1326939
Governador,521.86431
Guajaha,48.90396791
Guanabara,104.3049412
Guapenu,105.7209038
Guat0,0.654677518
Hi Merima,6630.319841
Hu'uhi,93.56436688
Igarapo Lourdes,97.31512463
Igarapp-A,103.9012245
Igarapp Preto/Pauana,103.1964341
Igarapp Taboca do Alto Tarauac,2.744531202
IgarapT Paiol,105.3045689
IgarapU Capana,1244.18862
IgarapU do Caucho,117.0800811
IgarapU Grande,12.1457656
IgarapU Lage,1018.961838
IgarapU Lourdes,1863.403691
IgarapU Ribeirao,455.0492871
Ikpeng,95.23002807
Ilha do Camaleao,1.683296608
Inauini/Teuini,4544.881199
Inawebohona,3574.938462
Ipixuna,2113.162121
Iquirema,99.15897746
Irantxe,2777.563224
Iso0'p,93.5631146
Itaitinga,1.380495168
Jabuti,158.9692581
Jacamim,2117.072285
Jacarepba/Katauixi,4378.025745
Jamamadi do Lourdes,99.16582964
Jaminaua/Envira,770.9397736
Jaminawa Arara do Rio Bagn,99.1174077
Jaminawa Arara do Rio Bagr,277.8137235
Jaminawa da Colocarao Sao Paulino,98.9347595
Jaminawa do Guajare,97.49238873
"Jaminawa do Igarap, Preto",248.7097354
Jaminawa do Rio Caetr,98.4702266
Japuira,1463.533196
Jaquiri,19.60900291
Jarawara/Jamamadi/Kanamati,3802.517813
Jarudore,43.68401509
Jatuarana,52.08806128
Jauary,105.9200259
Juininha,649.8315097
Juma,375.4777736
Jumina,471.9321843
Juruna do Km 17,106.4444993
Kampa do Igarapd Primavera,211.6851642
Kampa do Rio Amonea,824.3555323
Kampa e Isolados do Rio Envira,2217.388962
Kanamari do Rio Juru,5898.832471
Kanela,1343.711089
Kapotnhinore,97.84909942
Karaj,121.331039
KararaU,3341.201247
Karipuna,1458.049741
Karitiana,958.3795675
Katukina/Kaxinaww,225.2197687
Kawahiva do Rio Pardo,3939.706114
Kaxarari,1401.087761
Kaxinaw,3399.260495
KaxinawD Seringal Independencia,110.8007315
Kaxuyana,110.0064837
Kayap,31931.17659
Km 43,104.5684963
Koatinemo,3910.209325
Krah0-Kanela,72.78223043
Kraolandia,2955.554809
Krenreh,56.23554238
Krikati,1436.536436
Kulina do Medio Jurua,7105.953095
Kulina do Rio Envira,783.9692401
Kulina do Rio Uern - Matatibem,103.4438529
Kulina Igarapo do Pau,436.9171007
Kumaru do Lago Ual,818.3506153
Kuru0ya,1652.870035
Kwaz0 do Rio Sao Pedro,157.311214
Lago Aiapua,241.0310322
Lago Capana,62.54798821
Lago do Barrigudo,104.7517711
Lago do Beruri,43.3310901
Lago do Correio,135.427223
Lago do Limao,104.7388685
Lago do Marinheiro,36.37460834
Lago Grande,97.75846956
Lago Jauari,118.7436113
Lagoa Comprida,131.9897248
Lagoa dos Brincos,16.56338612
Lameirao,104.551602
Las Casas,207.3445873
Lauro Sodr,95.37758432
M8dio Rio Negro I,18735.75178
M8dio Rio Negro II,3353.242544
Macarrao,445.3072537
Mae Maria,628.065528
Malacacheta,316.0505855
Mamoadate,2963.421958
Mamorip,100.8440411
Manchineri do Seringal Guanabara,97.36008879
Mangueira,51.84598058
Manoa/Pium,501.6072035
Mapari,1628.68433
Maraa Urubaxi,982.306466
Maracaxi,107.3815704
MaraitU,541.9205827
Maraiwatsede,1554.561639
Marajai,10.00912076
Maranduba,3.610020162
Marechal Rondon,927.7253632
Massaco,3927.253462
Matintin,223.2406926
Mawetek,1135.41204
Menk0,517.2902972
Menkragnoti,47550.24041
Meria,5.946952207
Merure,760.5795967
Miguel/Josefa,16.50336243
Miratu,142.4377378
Mirixipi,107.2573208
Monte/Primavera/Goiaba,99.1370986
Morro Branco,0.486584007
Moskow,157.4608145
Munduruku,23262.78521
Munduruku-Taquara,258.3257623
Muratuba,105.2730838
Muratuba do Par,106.719485
Muriru,61.36833617
Murutinga,105.9161622
Nambikwara,9420.066603
Natal/Felicidade,3.400276762
Nau0,100.5280463
Nhamund,11046.03605
Norotsura,93.38835416
Nova Esperan,202.3693373
Nova Jacund,4.017752861
Nova Vista,107.0431107
Nove de Janeiro,2236.972534
Nukini,412.8589076
Ouro,154.9658656
Pacaas Novas,2652.137386
Pacaj,106.2992406
Padre,8.086276471
Panar,4780.045803
Pantaleao,105.614564
Paqui,147.9291054
Parabubure,2079.94077
Paracuhuba,9.549062223
Parakana,3520.559159
Paran,60.2445201
Parana do Boa Boa,2545.555574
Parana do Parica,83.12926371
Paresi,5204.408124
Parque do Araguaia,12788.4864
Parque do Aripuana,15071.50104
Parque do Tumucumaque,33408.28036
Parque do Xingu,24815.50554
Patau,6.265170052
Paukalirajausu,92.98321227
Paumari do Cuniua,423.2286878
Paumari do Lago Manissua,227.7174695
Paumari do Lago Maraha,1155.04831
Paumari do Lago Parico,156.3360139
Paumari do Rio Ituxi,73.8092642
Peneri/Tacaquiri,1838.20585
Pequizal,90.59209442
Pequizal do Naruv tu,260.5415283
Perigara,98.69358529
Pimental,104.2821545
Pimentel Barbosa,3140.784206
Pinatuba,294.3291697
Piraha,3394.271123
Pirineus de Souza,360.702306
Piripkura ( Interdilao ),2316.125208
Pium,51.14765293
Ponciano,105.7291144
Ponta da Serra,174.9396799
Pontal dos Apiak,100.3007152
Ponte de Pedra,157.6019223
Porquinhos,3758.142914
Portal do Encantado,394.1072193
Porto Limoeiro,51.10830715
Porto Praia,48.86467941
Porto RedenAao,105.8589968
Poyanawa,238.547895
Praia do Indio,0.317740758
Praia do Mangue,0.321287645
Prosperidade,57.27443112
Purubor,95.66459769
Raimundao,47.31857155
Raposa Serra do Sol,19782.14111
Recreio/Sao F3lix,2.428533841
Rio Apaporis,1121.759621
Rio Arraias/BR 080,96.8267602
Rio BiU,11880.22968
Rio Branco,2215.559126
Rio Cuieras,107.9690089
Rio Formoso,278.7821387
Rio Greglrio,897.3514301
Rio Gregmrio,1808.690162
Rio Guapor,1088.752778
Rio Jumas,96.03483284
Rio ManicorU,190.89221
Rio Mara,106.7849012
Rio Mequens,1007.150429
Rio Negro Ocaia,3213.438764
Rio Omerl,244.2721224
Rio Paru D'Este,12832.70296
Rio Pindar,152.4502964
Rio T,4340.293327
Rio Urubu,281.789016
Riozinho,105.7240543
Riozinho do Alto Envira,2465.975785
Rodeador,23.02531464
Roosevelt,2170.710911
Sagarana,170.7694443
Sai-Cinza,1230.131535
Sakoa/Santa Vit ria,100.232452
Sangradouro/Volta Grande,1033.985171
Santa Cruz da Nova Alianta,61.2880609
Santa Inez,342.3859749
Santana,331.6498147
Sao Domingos - MT,151.6558496
Sao Domingos do Jacapari e Estaoao,1382.764799
Sao Francisco,106.1732418
Sao Francisco do Canimari,33.96509889
Sao Gabriel/Sao Salvador,106.2727602
Sao Joao,107.1146313
Sao Leopoldo,727.7298225
Sao Luiz do TapajCs,104.4733062
Sao Marcos - MT,1603.291769
Sao Marcos - RR,7358.897079
Sao Pedro,6.244636671
Sao Pedro do Sepatini,267.9454835
Sao Sebastiao,618.2695793
