Name,TI_def_km
1vare I,164.7506018
1vare II,13.76454082
Acapuri de Cima,0.653562728
Acima,2.398486244
Agua Preta/Inari,6.705707145
Alto Rio Guamo,968.5331127
Alto Rio Negro,961.7522531
Alto Rio Purus,21.82402176
Alto Sepatini,1.132327088
Alto Tarauac,10.70413465
Alto Turia,435.6846054
Amanayp,0.198042513
Amina,25.84349477
AnambP,11.52002057
Anan,0.006839104
AndirP-Marau,430.6214053
Aningal,1.313008162
Aningalzinho,2.669743573
Anta,2.250821145
Apiaka/Kayabi,37.81972066
Apinayp II,45.53370337
ApinayU,152.6746889
Apipica,6.273978246
Apurina do Igarap  Mucuim,4.046085968
Apurina do Igarapg Sao Joao,7.30450183
Apurina Igarap,2.817024965
Apurina Igarap  Tauamirim,1.193829105
Apurina Km 124 BR-317,15.7988208
Apyterewa,734.6109131
Ara0,10.40026583
Arara,33.0025887
Arara da Volta Grande do Xingu,17.30608113
Arara do Igarap,4.97442989
Arara do Rio Amonia,11.80162795
Arara do Rio Branco,11.24389457
Arariboia,244.7834377
Arary,4.747843224
ArawetU IgarapF Ipixuna,57.23804639
Areoes,33.96178102
Aripuana,41.28603075
Ariramba,1.303352789
Awa,429.4085825
Ba0,43.10955469
Bacurizinho,165.1376419
Badjonkore,69.08572839
Baia do Guatl,9.846486768
Baixo Grande,5.970642255
Baixo Rio Negro,7.1018008
Baixo TapajAs,21.23609349
Baixo TapajAs II,14.33298577
Baixo TapajAs/Arapiuns,24.15008312
Balaio,19.11915323
Banaw ,7.546656288
Barata Livramento,3.770287403
Barreira da Missao,0.531088718
Barreirinha,3.173048729
Barro Alto,1.678207642
Batelao,84.45120055
Batovi,1.540128799
Betania,32.83753187
Boca do Acre,15.92278842
Bom Intento,0.897380492
Boqueirao,7.645355336
Borari de Alter do Chao,27.88234589
Braganea-Marituba,12.53151201
Brinco das Mo as,5.646292006
Cabeceira do Rio Acre,6.700750099
Cacau do Tarauaca,5.244156922
Cachoeira Seca,443.728354
Cacique Fontoura,0.038571725
Caiapuca,0.74128174
Caititu,18.01524549
Cajueiro,0.274070685
Cajuhiri Atravessado,12.87554309
Camadeni,3.309934936
Camicua,5.475130433
Campinas/Katukina,7.315478384
Cana Brava/Guajajara,191.4429022
Canauanim,40.37267656
Canoana,1.103949955
Capivara,28.80791863
Capoto/Jarina,72.42141612
Caru,168.655909
