Name,TI_never_for_km
1vare I,9.837106854
Alto Rio Negro,332.0450886
AnambP,0.094826123
Anan,25.80457712
Anaro,326.1815443
AndirP-Marau,66.61468009
Aningal,59.12145592
Anta,29.74512536
Apiaka/Kayabi,107.3365481
Apinayp II,47.1265017
ApinayU,1044.171171
Apurina do Igarap  Mucuim,3.312023815
Apurina Igarap,0.014053706
Apyterewa,23.08641538
Ara0,476.9476529
Arara do Rio Branco,0.01172381
Arariboia,200.5335238
Arary,68.21752738
ArawetU IgarapF Ipixuna,4.36039923
Areoes,934.167952
Aripuana,28.18731941
Ariramba,0.386496075
Ba0,26.14637086
Bacurizinho,750.9135173
Badjonkore,855.5432531
Baia do Guatl,103.2925685
Baixo Grande,7.906238093
Bakairi,579.5588184
Banaw,12.34424276
Barata Livramento,112.9036378
Batelao,339.8922949
Batovi,8.328142284
Betania,70.68386985
Boa Vista - AM,2.834122103
Bom Jesus,8.906815769
Boqueirao,108.6982864
Cacique Fontoura,298.4654415
Caiapuca,28.60824511
Caititu,196.2974927
Cajueiro,45.07835519
Cana Brava/Guajajara,174.2010353
Canauanim,25.61027311
Canoana,76.27709102
Capivara,0.166580984
Capoto/Jarina,1065.186888
Caru,6.309280362
Cayabi,1055.288925
Chao Preto,117.0677931
Chiquitano de Baia Grande,29.78242587
Coata-Laranjal,73.66507671
Cuiu-Cuiu,5.809353725
Cunha-Sapucaia,114.9136836
Diahui,0.921562953
EnawenU-NawU,3603.536267
Erikpatsl,2.482825251
Esta0ao Parecis,61.38362889
Estivadinho,18.78511399
Eterairebere,93.0830733
Figueiras,90.90662049
Funil,151.255572
Galibi,17.27465458
Governador,177.5101777
Guapenu,20.14841198
Guat0,0.045714795
Hu'uhi,93.56306527
Igarapp-A,7.056409662
IgarapU Lage,4.278024076
IgarapU Lourdes,32.77832005
Ikpeng,38.73546355
Inawebohona,2374.376783
Ipixuna,36.78157753
Irantxe,492.9863935
Iso0'p,93.56321056
Itaitinga,0.17291853
Jabuti,151.3709696
Jacamim,1025.31078
Jacarepba/Katauixi,264.0152885
Japuira,10.07698148
Jaquiri,1.633808816
Jarawara/Jamamadi/Kanamati,6.002073789
Jarudore,23.75707489
Jauary,25.55474023
Juininha,649.8314443
Jumina,328.0145542
Kanela,1252.033059
Kapotnhinore,97.84909942
Karaj,86.4458655
Karitiana,18.751314
Kawahiva do Rio Pardo,25.05196415
Kayap,4543.810208
Krah0-Kanela,47.79953103
Kraolandia,2955.5547
Krenreh,47.66751991
Krikati,1097.514598
Kulina do Medio Jurua,8.250520777
Kwaz0 do Rio Sao Pedro,75.49600314
Lago Aiapua,50.39969442
Lago Grande,75.5715909
Lagoa dos Brincos,0.076993303
Las Casas,171.1705577
M8dio Rio Negro I,125.7483663
M8dio Rio Negro II,0.429405543
Malacacheta,58.3054198
Mangueira,17.06678669
Manoa/Pium,215.1058888
Maraa Urubaxi,10.62689398
MaraitU,47.72632465
Maraiwatsede,214.9703629
Maranduba,1.806649981
Marechal Rondon,927.7253633
Massaco,1558.540232
Matintin,0.457220058
Mawetek,21.14564268
Menk0,1.40246595
Menkragnoti,1009.612712
Merure,759.9000995
Miguel/Josefa,1.092794355
Miratu,0.135385483
Moskow,51.71055343
Munduruku,3713.573405
Muriru,31.30936257
Murutinga,7.192964017
Nambikwara,6204.160125
Natal/Felicidade,1.803359809
Nhamund,57.33127997
Norotsura,93.39274062
Nova Vista,0.452276884
Nove de Janeiro,170.1790301
Ouro,154.8725593
Pacaas Novas,453.9552059
Panar,309.2413439
Pantaleao,1.854795416
Parabubure,2079.941464
Paran,2.246133349
Paresi,5072.424031
Parque do Araguaia,11658.91401
Parque do Aripuana,985.5011038
Parque do Tumucumaque,6327.459358
Parque do Xingu,4837.325869
Paukalirajausu,87.84246257
Paumari do Cuniua,40.0355706
Paumari do Lago Manissua,75.37895538
Paumari do Lago Maraha,1.415427899
Paumari do Lago Parico,90.11953353
Paumari do Rio Ituxi,24.33294879
Peneri/Tacaquiri,5.685805572
Pequizal,3.885204942
Pequizal do Naruv tu,31.20622909
Perigara,48.84346355
Pimentel Barbosa,2715.070737
Pinatuba,9.996741436
Piraha,325.9110124
Pirineus de Souza,150.671022
Pium,41.66500332
Ponta da Serra,171.0761189
Ponte de Pedra,125.5642564
Porquinhos,3013.2623
