Name,Sum_Area_km_UC
1REA DE PROTE CO AMBIENTAL TRIUNFO DO XINGU,16544.35474
1REA DE PROTE EO AMBIENTAL - BAIXO RIO BRANCO,16646.53185
1REA DE PROTE EO AMBIENTAL DA BAIXADA MARANHENSE,17700.1658
1REA DE PROTE EO AMBIENTAL DA ILHA DO COMBU,15.67812169
1REA DE PROTE EO AMBIENTAL DA REGImO METROLPOLITANA DE BELnM,58.96890863
1REA DE PROTE EO AMBIENTAL DA REGInO DO MARACANa,22.52307367
1REA DE PROTE EO AMBIENTAL DAS NASCENTES DE ARAGUAINA,152.4195807
1REA DE PROTE EO AMBIENTAL DAS REENTR NCIAS MARANHENSES,11280.7253
1REA DE PROTE EO AMBIENTAL DE ALGODOAL-MAIANDEUA,24.24758189
1REA DE PROTE EO AMBIENTAL DE SbO GERALDO DO ARAGUAIA,263.5275906
1REA DE PROTE EO AMBIENTAL DE UPAON-AtU / MIRITIBA / ALTO PREGUIuAS,2801.339296
1REA DE PROTE EO AMBIENTAL DO ARQUIPeLAGO DO MARAJo,47612.06105
1REA DE PROTE EO AMBIENTAL DO ITAPIRACd,3.658882465
1REA DE PROTE EO AMBIENTAL DO LAGO DE TUCURUI,5728.374017
1REA DE PROTE EO AMBIENTAL DO RIO PRETO,5.433858117
1REA DE PROTE EO AMBIENTAL FOZ DO RIO SANTA TEREZA,471.0430801
1REA DE PROTE EO AMBIENTAL LAGO DE PEIXE/ANGICAL,705.8626993
1REA DE PROTE EO AMBIENTAL LAGO DE SANTA ISABEL,183.2596372
"1REA DE PROTE EO AMBIENTAL LAGO DE SeO SALVADOR DO TOCANTINS, PARAN  E PALMEIR)POLIS",78.83334569
1REA DE PROTE EO AMBIENTAL PAYTUNA,594.4246829
1REA DE PROTE EO AMBIENTAL SERRA DO LAJEADO,1065.735522
1REA DE PROTEcoO AMBIENTAL SERRA DA TABATINGA,381.9685086
1REA DE PROTEDeO AMBIENTAL ILHA DO BANANAL/CANTdO,15017.97578
1REA DE PROTEDeO AMBIENTAL LAGO DE PALMAS,607.6176453
1rea de Proteuro Ambiental Jalap1o,1281.17441
1REA DE PROTEurO AMBIENTAL NASCENTES DO RIO PARAGUAI,654.2999695
1REA DE RELEVANTE INTERESSE ECOLvGICO JAPIIM PENTECOSTE,249.8376391
2REA DE PROTE EO AMBIENTAL DO RIO CURIA,233.4775747
2REA DE PROTE EO AMBIENTAL DO RIO MADEIRA,65.11272479
2REA DE PROTEcoO AMBIENTAL DO IGARAPo GELADO,230.4486113
2REA DE PROTEcoO AMBIENTAL DO TAPAJmS,20078.00738
2REA DE PROTEcoO AMBIENTAL MEANDROS DO ARAGUAIA,2879.138923
2REA DE PROTEniO AMBIENTAL MUNICIPAL DO ARICe-AuU,692.9195082
2REA DE PROTE￿￿O AMBIENTAL PARQUE LINEAR DO BIND￿,0.06305584
