Name,UC_Def_km
1REA DE PROTE CO AMBIENTAL TRIUNFO DO XINGU,4735.428199
1REA DE PROTE EO AMBIENTAL - BAIXO RIO BRANCO,61.82622896
1REA DE PROTE EO AMBIENTAL DA BAIXADA MARANHENSE,8694.649628
1REA DE PROTE EO AMBIENTAL DA ILHA DO COMBU,0.044587986
1REA DE PROTE EO AMBIENTAL DA REGImO METROLPOLITANA DE BELnM,32.69605496
1REA DE PROTE EO AMBIENTAL DA REGInO DO MARACANa,18.8687592
1REA DE PROTE EO AMBIENTAL DAS REENTR NCIAS MARANHENSES,6932.954046
1REA DE PROTE EO AMBIENTAL DE ALGODOAL-MAIANDEUA,4.954636204
1REA DE PROTE EO AMBIENTAL DE SbO GERALDO DO ARAGUAIA,138.188112
1REA DE PROTE EO AMBIENTAL DE UPAON-AtU / MIRITIBA / ALTO PREGUIuAS,559.3635329
1REA DE PROTE EO AMBIENTAL DO ARQUIPeLAGO DO MARAJo,1750.515445
1REA DE PROTE EO AMBIENTAL DO ITAPIRACd,1.191575765
1REA DE PROTE EO AMBIENTAL DO LAGO DE TUCURUI,1799.704857
1REA DE PROTE EO AMBIENTAL LAGO DE SANTA ISABEL,122.3567742
1REA DE PROTE EO AMBIENTAL PAYTUNA,148.996395
1REA DE PROTEDeO AMBIENTAL ILHA DO BANANAL/CANTdO,556.6723163
1REA DE PROTEurO AMBIENTAL NASCENTES DO RIO PARAGUAI,13.08515027
1REA DE RELEVANTE INTERESSE ECOLvGICO JAPIIM PENTECOSTE,7.628027998
2REA DE PROTE EO AMBIENTAL DO RIO CURIA ,16.52699308
2REA DE PROTE EO AMBIENTAL DO RIO MADEIRA,33.51075344
2REA DE PROTEcoO AMBIENTAL DO IGARAPo GELADO,94.14553224
2REA DE PROTEcoO AMBIENTAL DO TAPAJmS,877.3240386
2REA DE PROTEcoO AMBIENTAL MEANDROS DO ARAGUAIA,16.99315963
2REA DE PROTEniO AMBIENTAL MUNICIPAL DO ARICe-AuU,35.58461007
2REA DE PROTE￿￿O AMBIENTAL PARQUE LINEAR DO BIND￿,0.063055839
3REA DE PROTEcoO AMBIENTAL DOS CAMPOS DE MANICORr,5.144090601
4REA DE PROTE EO AMBIENTAL DAS CABECEIRAS DO RIO CUIAB ,208.3765915
4REA DE PROTE EO AMBIENTAL DO SALTO MAGESSI,2.460115809
4REA DE PROTEDeO AMBIENTAL DA CHAPADA DOS GUIMARiES,315.4558717
4REA DE RELEVANTE INTERESSE ECOLvGICA PROJETO DINsMICA BIOLtGICA DE FRAGMENTOS FLORESTAIS,7.498276082
4REA DE RELEVANTE INTERESSE ECOLvGICA SERINGAL NOVA ESPERANtA,11.51088379
8REA DE PROTE EO AMBIENTAL DA FAZENDINHA,0.019195347
