"","State","Municipality"
"1","MT","Agua Boa"
"2","MT","General Carneiro"
"3","MT"," Novo Sao Joaquim"
"4","MT"," Poxor"
"5","MT","Nobres"
"6","MT","Nova Lacerda"
"7","RR","Bonfim"
"8","MT","Luciara"
"9","MT"," Santa Terezinha"
"10","GO","Aruana"
"11","AC","Feijn"
"12","TO","Tocantenia"
"13","AM","Manicor"
"14","AM","Lambrea"
"15","AM","Tapaur"
"16","AM","Manicor "
"17","AM","Boca do Acre"
"18","AM"," Pauini"
"19","AM","Humait"
"20","AM","Manacapuru"
"21","AM","Autazes"
"22","AM","Careiro"
"23","RR","Alto Alegre"
"24","AC","Tarauaca"
"25","RO","Nova Mamoro"
"26","RO"," Porto Velho"
"27","AP, PA","Alenquer"
"28","AP, PA"," Almeirim"
"29","AP, PA"," Laranjal do Jari"
"30","AP, PA"," Obidos"
"31","AP, PA"," Oriximin"
"32","PA","Alenquer"
"33","PA"," Almeirim"
"34","PA"," Monte Alegre"
"35","AC","Rodrigues Alves"
"36","PA","Rondon do Par "
"37","AC","Jordao"
"38","AC","Tarauacn"
"39","RO","Parecis"
"40","MT","Aripuana"
"41","MT"," Ju na"
"42","PA","Cumaru do Norte"
"43","PA"," Sao F"
"44","PA","Bannach"
"45","PA"," Cumaru do Norte"
"46","PA"," Ourilindia do Norte"
"47","PA"," Sao F4lix do Xingu"
"48","AP","Laranjal do Jari"
"49","AP"," Pedra Branca do Amapari"
"50","RO","Guajaro-Mirim"
"51","RO"," Nova Mamorr"
"52","RO","Nova Mamorr"
"53","MT","Barao de Melgaao"
"54","PA","Altamira"
"55","PA"," Brasil Novo"
"56","PA"," Medicilndia"
"57","PA"," Uruarr"
"58","RR","Amajari"
"59","MT","Juara"
"60","MA","Amarante do Maranhao"
"61","MA"," Arame"
"62","MA"," Bom Jesus das Selvas"
"63","MA"," Buriticupu"
"64","MA"," Graja"
"65","AP","Oiapoque"
"66","MA","Barra do Corda"
"67","MA"," Fernando Falcao"
"68","PA","Santa Maria das Barreiras"
"69","PA"," Senador Josg Porflrio"
"70","MA","Itaipava do Graja "
"71","MA"," Jenipapo dos Vieiras"
"72","PA","Vituria do Xingu"
"73","PA","Itupiranga"
"74","PA"," Novo Repartimento"
"75","MT","Tangar"
"76","MT","Ju"
"77","MT","Rondon"
"78","PA","Tomb-Atu"
"79","RR"," Boa Vista"
"80","TO","Santa F"
"81","TO"," do Araguaia"
"82","PA","Tomb-AUu"
